candidate,base,extended,base_occurrences,extended_occurrences,base_documents,extended_documents,same_document,same_documents
E,JA-SI,JA-SI-E,1,1,KN Zb 4,KE Zb 4,False,
JA,*306-TU,*306-TU-JA,4,1,HT 119;HT 122a;HT 9a;HT 9b,HT 115b,False,
JA,A-MA,A-MA-JA,2,1,HS Zg 1;MA 1b,KH 14,False,
JA,KU-PA,KU-PA-JA,3,1,HT 110a;ZA 11a;ZA 11b,HT 116a,False,
JA,PA-SE,PA-SE-JA,2,2,HT 18;HT 27b,HT Wc 3001;HT Wc 3002,False,
MU,KU-RA,KU-RA-MU,1,1,ZA 20,HT 117a,False,
NE,PA-RA,PA-RA-NE,2,2,HT 128a;PH 3a,HT 115a;HT 115b,False,
PA,A-RI,A-RI-PA,2,1,PH 6,PE 2,False,
PA,KA-KU,KA-KU-PA,1,3,HT 62+73,HT 16;HT Wc 3015a;HT Wc 3016a,False,
PU₂,TU-SU,TU-SU-PU₂,1,1,PK 1a,HT 49a,False,
QE,KA-PA,KA-PA-QE,5,1,HT 102;HT 140;HT 6a;HT 8b;HT 94a,HT 6a,True,HT 6a
RE,PA-JA,PA-JA-RE,1,4,HT 41a,HT 29;HT 88;HT 8b;ZA 10b,False,
RI,KU-PA,KU-PA-RI,3,1,HT 110a;ZA 11a;ZA 11b,PE 1,False,
RO,A-DA,A-DA-RO,1,1,TY 3a,ARKH 5,False,
RO,SA-MA,SA-MA-RO,4,1,HT 10a;HT 52a;HT 6b;ZA 10b,HT 88,False,
RU,DI-DE,DI-DE-RU,1,2,HT 86b,HT 86a;HT 95b,False,
SE,RU-MA-TA,RU-MA-TA-SE,2,1,HT 29;HT 99b,ZA 20,False,
SU,A-RI,A-RI-SU,2,1,PH 6,HT 118,False,
TA,A-MI,A-MI-TA,1,1,KH 102,ZA 10b,False,
TI,DA-KU-SE-NE,DA-KU-SE-NE-TI,1,1,HT 103,HT 104,False,
TI,JA-KU,JA-KU-TI,1,1,MA 2b,KN 1a,False,
TI,RI-RU-MA,RI-RU-MA-TI,1,1,HT 118,PH 31b,False,
TU,SI-TE,SI-TE-TU,1,1,ZA 26a,ZA 20,False,
ZA,A-DU,A-DU-ZA,7,1,HT 133;HT 85a;HT 86a;HT 88;HT 92;HT 95b;HT 99a,PK 1a,False,
