family,state,form,inscription,frame_head,target_hierarchy,shared_scope,derived_role,frame_test,notes
PA-SE,base,PA-SE,HT18,"none/section-initial","section-entry/head","controls multiple commodity entries",recipient,"family-specific","Bare form functions as tablet section entry controlling commodity/quantity material"
PA-SE,base,PA-SE,HT27b,"none/section-initial","section-entry/head","controls account subsection",recipient,"family-specific","Second bare tablet context"
PA-SE,JA,PA-SE-JA,HTWc3001,"roundel standalone","principal statement","sealed receipt-like document",unclassified,"family-specific","No enclosing lexical frame"
PA-SE,JA,PA-SE-JA,HTWc3002,"roundel standalone","sole lexical statement","sealed receipt-like document",unclassified,"family-specific","Support-type contrast not reproduced by another family"
KU-PA,base,KU-PA,HT110a,"commodity/account frame","list entry","CYP+E inherited from account",recipient,"counterexample","Bare form already dependent within a larger account frame"
KU-PA,base,KU-PA,ZA11b,"E-TO-RI","dependent transaction/list entry","GRA+PA 3",recipient,"decisive-counterexample","Bare KU-PA occurs under an explicit lexical sender/head, defeating JA=dependent-under-lexical-head"
KU-PA,JA,KU-PA-JA,HT116a,"U-TA-RO","dependent transaction/list entry","GRA 16",recipient,"preserved","JA form occupies same hierarchical kind of slot as bare KU-PA"
A-SE,base,A-SE,HT132,"institutional/account frame","dependent/list entry","*904 5",recipient,"preserved","Bare A-SE occurs as ordinary account entry"
A-SE,JA,A-SE-JA,HT115a,"*301-U-RA","dependent/list entry","GRA+BOSm shared commodity frame",recipient,"preserved","Explicit lexical head is real but not JA-specific given bare KU-PA control"
*306-TU,base,*306-TU,HT9a,"SA-RO","dependent/list entry","VIN allocation list",recipient,"counterexample","Bare form occurs under explicit lexical sender/head"
*306-TU,base,*306-TU,HT9b,"KA-*305","dependent/list entry","VIN allocation list",recipient,"counterexample","Second bare explicit-head control"
*306-TU,base,*306-TU,HT122a,"]RA-RI","dependent/list entry","people/men-implied list",recipient,"counterexample","Bare form again dependent under lexical frame"
*306-TU,JA,*306-TU-JA,HT115b,"transaction involving KU-RU-MA / I","higher-level transaction participant",I,sender,"hierarchy-shift-unreplicated","JA form is modeled as sender, unlike bare family, but no second family reproduces this shift"
JA-CONTROL,JA,*47-NU-RA-JA,HT115a,"document/transaction head","sender/head","GRA+BOSm frame",sender,"same-tablet-control","JA-ending word is higher-level sender while A-SE-JA on same tablet is dependent recipient"
JA-CONTROL,JA,TI-NU-JA,HT115b,"transaction frame","recipient/dependent","GRA",recipient,"same-tablet-control","JA-ending word is recipient while *306-TU-JA on same tablet is sender"
TOTAL,,,,,"mixed hierarchy","mixed frames",,"negative","No single list/frame relation is uniquely or repeatedly licensed by final JA across the audited families"
