family,form_type,form,inscription,support,site,tier,literal_pattern,right1,right2,right3,section_context,derived_role,admin_comparable,notes,provenance
PA-SE,base,PA-SE,HT18,tablet,Haghia Triada,A,"LEX>GRA+QE>20",GRA+QE,20,,mixed commodities,recipient,yes,"PA-SE heads/controls commodity entries; no divider immediately after target","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT18.js"
PA-SE,base,PA-SE,HT27b,tablet,Haghia Triada,A,"LEX>DIV>VIN+WA>DIV>SA>4",DIV,VIN+WA,DIV,"people/food and commodity account",recipient,yes,"Target begins second account section; local construction differs from HT18","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT27b.js"
PA-SE,ja,PA-SE-JA,HTWc3001,roundel,Haghia Triada,A,"LEX as principal roundel statement; separate-face J; 3 impressions",END,,,roundel/sealed administration,unclassified,limited,"No tablet-style right-neighbor syntax; roundel bears PA-SE-JA as principal statement","mwenge/lineara.xyz@43fe7cf: items/HTWc3001.html"
PA-SE,ja,PA-SE-JA,HTWc3002,roundel,Haghia Triada,A,"LEX as sole lexical roundel statement; 2 impressions",END,,,roundel/sealed administration,unclassified,limited,"No following lexical/logographic token in the written line","mwenge/lineara.xyz@43fe7cf: items/HTWc3002.html"
KU-PA,base,KU-PA,HT110a,tablet,Haghia Triada,A,"LEX>1",NUM,1,,CYP+E account,recipient,yes,"Commodity is inherited in transaction model rather than repeated immediately after target","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT110a.js"
KU-PA,base,KU-PA,ZA11a,tablet,Zakros,A,"LEX>DIV>GRA+PA>1",DIV,GRA+PA,1,outgoing/disbursement account,recipient,yes,"Bare form occupies same recipient/designation-like slot as neighboring entries","mwenge/lineara.xyz@43fe7cf: network/transactions/final/ZA11a.js; commentary/ZA11.html"
KU-PA,base,KU-PA,ZA11b,tablet,Zakros,A,"LEX>DIV>GRA+PA>3",DIV,GRA+PA,3,outgoing/disbursement account,recipient,yes,"Independent second bare KU-PA occurrence with explicit grain composite","mwenge/lineara.xyz@43fe7cf: network/transactions/final/ZA11b.js"
KU-PA,base,KU-PA,HTWe1020,sealed document,Haghia Triada,A,"*304+PA>LEX>END",END,,,sealed administration,unclassified,limited,"Bare KU-PA is itself attested on a sealed document; rejects JA as sealed-support marker","mwenge/lineara.xyz@43fe7cf: commentary/HTWe1020.html"
KU-PA,ja,KU-PA-JA,HT116a,tablet,Haghia Triada,A,"LEX>GRA>16",GRA,16,,mixed commodities,recipient,yes,"Direct commodity+quantity construction; same broad participant slot as bare KU-PA","mwenge/lineara.xyz@43fe7cf: commentary/16.html; network/transactions/final/HT116a.js"
A-SE,base,A-SE,HT81,tablet,Haghia Triada,B,"LEX>*900>MI+JA+RU>*900>fraction",*900,MI+JA+RU,*900,damaged administrative account,unclassified,yes,"*900 functions as separator/editorial divider in upstream transcription; later context damaged","mwenge/lineara.xyz@43fe7cf: items/HT81.html"
A-SE,base,A-SE,HT93a,tablet,Haghia Triada,B,"LEX>*900>I+GRA+PA>26>3/4",*900,I+GRA+PA,26,specialized commodities,recipient-like,yes,"A-SE precedes transaction/commodity notation and quantity","mwenge/lineara.xyz@43fe7cf: items/HT93a.html"
A-SE,base,A-SE,HT132,tablet,Haghia Triada,B,"LEX>*904>5",*904,5,,mixed commodities,recipient,yes,"Literal sign after target is a logographic/special sign followed by quantity","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT132.js"
A-SE,base,A-SE,ZAZb3,stone vessel,Zakros,B,"...>LEX>END of first statement/list",END,,,pithos capacity/inscription,unclassified,no,"Secure base but support and syntax are not comparable to HT administrative tablets","mwenge/lineara.xyz@43fe7cf: items/ZAZb3.html"
A-SE,ja,A-SE-JA,HT115a,tablet,Haghia Triada,B,"LEX>QUANTITY",NUM,,,single-commodity GRA+BOSm account,recipient,yes,"Commodity/sender context is inherited from section; JA form occupies recipient/list slot","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT115a.js"
*306-TU,base,*306-TU,HT9a,tablet,Haghia Triada,B,"LEX>10",NUM,10,,VIN allocation list,recipient,yes,"Local syntax is target immediately followed by quantity","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT9a.js"
*306-TU,base,*306-TU,HT9b,tablet,Haghia Triada,B,"LEX>8",NUM,8,,VIN allocation list,recipient,yes,"Independent second side preserves same LEX>NUM construction","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT9b.js"
*306-TU,base,*306-TU,HT119,tablet,Haghia Triada,B,"LEX>2",NUM,2,,personnel/men-implied list,recipient,yes,"Numbered designation/personnel-style entry","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT119.js"
*306-TU,base,*306-TU,HT122a,tablet,Haghia Triada,B,"LEX>1",NUM,1,,personnel/men-implied list,recipient,yes,"Target is one numbered entry among comparable designation/name-like forms","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT122a.js"
*306-TU,ja,*306-TU-JA,HT115b,tablet,Haghia Triada,B,"LEX>1",NUM,1,,transaction/list under sign I,sender,yes,"Literal micro-syntax is identical to the bare-family LEX>NUM pattern despite different derived transaction-role label","mwenge/lineara.xyz@43fe7cf: network/transactions/final/HT115b.js"
