audit_id,priority,side,sign,v0_2_rank,v0_2_score,exact_pair,benchmark_state,audit_question,status
AQ-RO-001,1,suffix,RO,1,6.649,"KI-DA ~ KI-DA-RO",rejected-control,"Same lexeme with productive -RO or onomastic/lexical coincidence?","rejected-damaged-base"
AQ-RO-002,1,suffix,RO,1,6.649,"SA-MA ~ SA-MA-RO",reclassified-control,"Same lexeme with productive -RO or onomastic/lexical coincidence?","reclassified-onomastic-risk"
AQ-RO-003,1,suffix,RO,1,6.649,"DI-NA ~ DI-NA-RO",rejected-control,"Same lexeme with productive -RO or onomastic/lexical coincidence?","rejected-damaged-base"
AQ-RO-004,1,suffix,RO,1,6.649,"A-DA ~ A-DA-RO",Tier-B-candidate,"Same lexeme with productive -RO or onomastic/lexical coincidence?","survives-formal-audit"
AQ-TE-001,2,suffix,TE,4,4.869,"DU-RI ~ DU-RI-TE",rejected-control,"Are both word boundaries secure?","rejected-damaged-boundaries"
AQ-TE-002,2,suffix,TE,4,4.869,"SI-RU ~ SI-RU-TE",Tier-B-comparison,"Same lexeme across administrative and ritual registers?","survives-formal-context-unresolved"
AQ-TE-003,2,suffix,TE,4,4.869,KU-NI ~ KU-NI-TE,rejected-control,Are both word boundaries secure across source layers?,rejected-source-conflicted-base
AQ-TE-004,2,suffix,TE,4,4.869,"I-JA ~ I-JA-TE",Tier-C-comparison,"Does contextual evidence support derivation rather than coincidence?","comparison-only"
AQ-TE-005,2,suffix,TE,4,4.869,"A-DI-KI-TE ~ A-DI-KI-TE-TE",literature-supported,"Can the exact-pair claim be separated from the published Dikte morphology argument?","reclassified-not-clean-pair"
AQ-TE-006,2,suffix,TE,4,4.869,"A-TA-NA ~ A-TA-NA-TE",rejected-control,"Is A-TA-NA actually complete?","rejected-damaged-base"
AQ-RE-001,3,suffix,RE,7,4.241,"PA-JA ~ PA-JA-RE",Tier-B-reclassified,"Ordinary inflection or onomastic derivation?","survives-formal-onomastic"
AQ-RE-002,3,suffix,RE,7,4.241,"KI-*310 ~ KI-*310-RE",rejected-control,"Is the base complete?","rejected-damaged-base"
AQ-RE-003,3,suffix,RE,7,4.241,"TE-JA ~ TE-JA-RE",reclassified-control,"Is TE-JA complete and is TE-JA-RE onomastic?","rejected-fragmentary-base-onomastic-variant"
AQ-RE-004,3,suffix,RE,7,4.241,"A-DU ~ A-DU-RE",rejected-control,"Is the extended word boundary secure?","rejected-damaged-variant"
AQ-RE-005,3,suffix,RE,7,4.241,"DU-RA ~ DU-RA-RE",rejected-control,"Is the base complete?","rejected-damaged-base"
AQ-RE-006,3,suffix,RE,7,4.241,"A-TA ~ A-TA-RE",rejected-control,"Is the base complete?","rejected-damaged-base"
AQ-A-001,4,prefix,A,1,7.842,"RA-NA-RE ~ A-RA-NA-RE",rejected-control,"Are both word boundaries secure?","rejected-damaged-base"
AQ-A-002,4,prefix,A,1,7.842,"KA-RU ~ A-KA-RU",Tier-A-positive,"Does A- correlate with a recurring administrative role?","survives-strong-context"
AQ-A-003,4,prefix,A,1,7.842,"SA-RA₂ ~ A-SA-RA₂",Tier-B-candidate,"Same lexical identity across broader and personnel contexts?","survives-formal-audit"
AQ-A-004,4,prefix,A,1,7.842,"PA-RA-NE ~ A-PA-RA-NE",Tier-B-candidate,"Does same-scribe formal contrast predict a recurring role?","survives-formal-audit"
AQ-A-005,4,prefix,A,1,7.842,"SA-SA-RA-ME ~ A-SA-SA-RA-ME",reclassified-control,"Is bare SA-SA-RA-ME securely attested?","rejected-unverified-base"
AQ-A-006,4,prefix,A,1,7.842,"SI-KI-RA ~ A-SI-KI-RA",Tier-A-positive,"Verify published optional-A discussion",validated-published-prefix-pair
AQ-A-007,4,prefix,A,1,7.842,"DA-RA ~ A-DA-RA",rejected-control,"Is DA-RA a complete base?","rejected-damaged-base"
AQ-A-008,4,prefix,A,1,7.842,"RI-JA ~ A-RI-JA",rejected-control,"Are both word boundaries secure?","rejected-damaged-boundaries"
AQ-A-009,4,prefix,A,1,7.842,"TA-NA-TE ~ A-TA-NA-TE",Tier-A-replication,"Independent same-tablet literature control",validated-published-same-tablet
AQ-I-001,5,prefix,I,4,4.660,"RU-JA ~ I-RU-JA",Tier-B-candidate,"Same lexeme across roundel and personnel tablet?","survives-formal-audit"
AQ-I-002,5,prefix,I,4,4.660,"KI-RA ~ I-KI-RA",rejected-control,"Is prefixed form complete?","rejected-damaged-variant"
AQ-I-003,5,prefix,I,4,4.660,"TA-JA ~ I-TA-JA",reclassified-control,"Numerical term vs probable personal name?","reclassified-context-mismatch"
AQ-I-004,5,prefix,I,4,4.660,"KU-TA ~ I-KU-TA",rejected-control,"Is base complete?","rejected-damaged-base"
AQ-I-005,5,prefix,I,4,4.660,"QA-*118 ~ I-QA-*118",Tier-A-positive,"Does complete cross-site contrast survive?","survives-strong-formal-audit"
AQ-I-006,5,prefix,I,4,4.660,"JA-PA ~ I-JA-PA",rejected-control,"Is prefixed form complete?","rejected-damaged-variant"
AQ-I-007,5,prefix,I,4,4.660,"KU-PI ~ I-KU-PI",rejected-control,"Is prefixed form complete?","rejected-damaged-variant"
AQ-I-008,5,prefix,I,4,4.660,"DA-MA-TE ~ I-DA-MA-TE",Tier-A-positive,"Does published prefix interpretation survive?","survives-published-formal-audit"
AQ-TI-001,6,suffix,TI,11,3.699,"DA-KU-SE-NE ~ DA-KU-SE-NE-TI",Tier-A-positive,"Check TI segmentation as syllabogram vs possible ideogram",validated-with-segmentation-caveat
AQ-TI-002,6,suffix,TI,11,3.699,"SA-MA ~ SA-MA-TI",rejected-control,"Is extended form complete?","rejected-damaged-variant"
AQ-TI-003,6,suffix,TI,11,3.699,"JA-KU ~ JA-KU-TI",Tier-B-candidate,"Same lexeme and grammatical role?","survives-formal-audit"
AQ-TI-004,6,suffix,TI,11,3.699,"RI-RU-MA ~ RI-RU-MA-TI",Tier-B-candidate,"Same lexeme and grammatical role?","survives-formal-audit"
AQ-TI-005,6,suffix,TI,11,3.699,"QA-KI ~ QA-KI-TI",rejected-control,"Are both forms complete?","rejected-damaged-boundaries"
AQ-JA-001,7,suffix,JA,2,4.977,"PA-SE ~ PA-SE-JA",Tier-A-positive,"Revalidate context and attach primary-edition references",validated-seed
AQ-JA-002,7,suffix,JA,2,4.977,"KU-PA ~ KU-PA-JA",Tier-A-positive,"Revalidate context and attach primary-edition references",validated-seed
AQ-JA-003,7,suffix,JA,2,4.977,"A-SE ~ A-SE-JA",Tier-B-candidate,"Does the multiple-base administrative evidence establish common lexical identity?","survives-formal-audit-tier-b"
AQ-JA-004,7,suffix,JA,2,4.977,"*306-TU ~ *306-TU-JA",Tier-B-reclassified,"Generic suffix or onomastic/derivational formation?","survives-formal-audit-onomastic-risk"
AQ-JA-005,7,suffix,JA,2,4.977,"A-MA ~ A-MA-JA",Tier-C-comparison,"Do cross-site/support attestations establish one lexeme?","comparison-only-lexical-identity-unproved"
AQ-JA-006,7,suffix,JA,2,4.977,"JA-SA ~ JA-SA-JA",rejected-control,"Is JA-SA actually an independently segmented free word?","rejected-cross-face-continuation-formula"
AQ-JA-007,7,suffix,JA,2,4.977,"A-RI ~ A-RI-JA",obsolete-v0.2-control,"Why did this older candidate disappear under v0.3?","v0.3-excluded-insecure-variant"
AQ-JA-008,7,suffix,JA,2,4.977,"PU2-RE ~ PU2-RE-JA",rejected-control,"Do authoritative editions preserve complete left boundaries?","rejected-authoritative-fragment-source-coverage"
AQ-NE-001,8,suffix,NE,5,4.735,"*21F-TU ~ *21F-TU-NE",Tier-A-positive,"Primary-edition revalidation; benchmark positive control","validated-tier-a-same-scribe-cross-scribe"
AQ-NE-002,8,suffix,NE,5,4.735,"QE-TU ~ QE-TU-NE",rejected-control,"Secure same-lexeme relationship?","rejected-damaged-base"
AQ-NE-003,8,suffix,NE,5,4.735,"PA-TA ~ PA-TA-NE",rejected-control,"Secure same-lexeme relationship?","rejected-damaged-base"
AQ-NE-004,8,suffix,NE,5,4.735,"PA-RA ~ PA-RA-NE",reclassified-control,"Does expanded corpus remove or preserve scribal confound?","reclassified-onomastic-scribal-lexical-identity"
AQ-NU-001,9,suffix,NU,34,2.027,"KU-PA₃ ~ KU-PA₃-NU",reclassified-control,"Confirm onomastic explanation remains best",negative-control
AQ-NU-002,9,suffix,NU,34,2.027,"U-TI ~ U-TI-NU",rejected-control,"Confirm fragment/segmentation failure remains decisive",negative-control
AQ-ME-001,8,suffix,ME,3,4.879,"A-RA-TU ~ A-RA-TU-ME",Tier-B-candidate,"Same lexeme across Zakros tablet and Haghia Triada roundel?","survives-formal-audit-tier-b"
AQ-ME-002,8,suffix,ME,3,4.879,"JA-SA-SA-RA ~ JA-SA-SA-RA-ME",rejected-control,"Is the apparent bare form an independent word?","rejected-cross-face-continuation"
AQ-ME-003,8,suffix,ME,3,4.879,"MA-RU ~ MA-RU-ME",rejected-control,"Is the extended form an ordinary syllabic word or complex logographic notation?","rejected-logogram-flattening"
AQ-ME-004,8,suffix,ME,3,4.879,"SA-RA ~ SA-RA-ME",rejected-control,"Is SA-RA-ME independently segmented?","rejected-cross-face-continuation"
AQ-QE-001,5,suffix,QE,,,KA-PA ~ KA-PA-QE,Tier-A-positive,Same lexeme with final QE under same-tablet control?,completed-tier-a
AQ-QE-002,5,suffix,QE,,,SA-RO ~ SA-RO-QE,rejected-control,Is variant right boundary secure?,rejected-damaged-variant
AQ-SU-001,6,suffix,SU,,,KU-NI ~ KU-NI-SU,rejected-control,Is normalized KU-NI complete in damage-preserving source?,rejected-source-conflicted-base
AQ-SU-002,6,suffix,SU,,,A-RI ~ A-RI-SU,Tier-C-comparison,Common lexeme across site/chronology/register?,completed-comparison-only
AQ-WI-001,7,suffix,WI,,,JA-DI ~ JA-DI-WI,rejected-control,Is variant one securely segmented word?,rejected-segmented-fragments
AQ-WI-002,7,suffix,WI,,,PA3-NI ~ PA3-NI-WI,Tier-B-candidate,Onomastic/relational morphology or lexical coincidence across admin/ritual?,completed-tier-b-reclassified
