benchmark_id,expectation,side,sign,base,variant,observed_status,exclusion_classes,warning_classes,pass,rationale
MB-RO-001,exclude_structural,suffix,RO,KI-DA,KI-DA-RO,excluded_structural_base,physical_boundary,,yes,known damaged base
MB-RO-002,exclude_structural,suffix,RO,DI-NA,DI-NA-RO,excluded_structural_base,physical_boundary,,yes,known damaged base
MB-TE-001,exclude_structural,suffix,TE,DU-RI,DU-RI-TE,excluded_structural_both,physical_boundary,,yes,known insecure boundaries
MB-TE-005,exclude_structural,suffix,TE,A-DI-KI-TE,A-DI-KI-TE-TE,excluded_structural_both,physical_boundary,,yes,known broken base boundary
MB-TE-006,exclude_structural,suffix,TE,A-TA-NA,A-TA-NA-TE,excluded_structural_base,physical_boundary,,yes,known damaged base
MB-RE-002,exclude_structural,suffix,RE,KI-*310,KI-*310-RE,excluded_structural_base,physical_boundary,,yes,known damaged base
MB-RE-003,exclude_structural,suffix,RE,TE-JA,TE-JA-RE,excluded_structural_base,physical_boundary,onomastic,yes,known damaged base
MB-RE-004,exclude_structural,suffix,RE,A-DU,A-DU-RE,excluded_structural_variant,physical_boundary,,yes,known damaged variant
MB-RE-005,exclude_structural,suffix,RE,DU-RA,DU-RA-RE,excluded_structural_base,physical_boundary,,yes,known damaged base
MB-RE-006,exclude_structural,suffix,RE,A-TA,A-TA-RE,excluded_structural_base,physical_boundary,,yes,known damaged base
MB-A-001,exclude_structural,prefix,A,RA-NA-RE,A-RA-NA-RE,excluded_structural_base,physical_boundary,,yes,known doubly fragmentary base
MB-A-007,exclude_structural,prefix,A,DA-RA,A-DA-RA,excluded_structural_base,physical_boundary,,yes,known damaged base
MB-A-008,exclude_structural,prefix,A,RI-JA,A-RI-JA,excluded_structural_both,physical_boundary,,yes,known damaged forms
MB-I-002,exclude_structural,prefix,I,KI-RA,I-KI-RA,excluded_structural_variant,physical_boundary,,yes,known damaged prefixed form
MB-I-004,exclude_structural,prefix,I,KU-TA,I-KU-TA,excluded_structural_base,physical_boundary,,yes,known damaged base
MB-I-006,exclude_structural,prefix,I,JA-PA,I-JA-PA,excluded_structural_variant,physical_boundary,,yes,known damaged prefixed form
MB-I-007,exclude_structural,prefix,I,KU-PI,I-KU-PI,excluded_structural_variant,physical_boundary,,yes,known damaged prefixed form
MB-TI-002,exclude_structural,suffix,TI,SA-MA,SA-MA-TI,excluded_structural_variant,physical_boundary,,yes,known damaged variant
MB-TI-005,exclude_structural,suffix,TI,QA-KI,QA-KI-TI,excluded_structural_base,physical_boundary,,yes,known damaged forms
MB-JA-006,exclude_structural,suffix,JA,JA-SA,JA-SA-JA,excluded_structural_base,editorial_continuation|non_linear_a_script|physical_boundary,,yes,cross-face continuation must not create JA-SA ~ JA-SA-JA
MB-JA-007,exclude_structural,suffix,JA,PU2-RE,PU2-RE-JA,excluded_structural_both,authoritative_source_boundary,,yes,authoritative source correction must suppress PU2-RE false base
MB-ME-002,exclude_structural,suffix,ME,JA-SA-SA-RA,JA-SA-SA-RA-ME,excluded_structural_base,editorial_continuation,,yes,cross-face continuation must suppress JA-SA-SA-RA bare fragment
MB-ME-003,exclude_structural,suffix,ME,MA-RU,MA-RU-ME,excluded_structural_variant,complex_logogram,,yes,complex logogram flattening must suppress MA-RU ~ MA-RU-ME
MB-ME-004,exclude_structural,suffix,ME,SA-RA,SA-RA-ME,excluded_structural_variant,editorial_continuation|non_linear_a_script,,yes,cross-face continuation must suppress SA-RA-ME free-word artifact
MB-NE-002,exclude_structural,suffix,NE,QE-TU,QE-TU-NE,excluded_structural_base,physical_boundary,,yes,QE-TU base is fragmentary ]QE-TU
MB-NE-003,exclude_structural,suffix,NE,PA-TA,PA-TA-NE,excluded_structural_base,physical_boundary,,yes,PA-TA base is fragmentary ]PA-TA
MB-A-002,retain_secure,prefix,A,KA-RU,A-KA-RU,accepted_secure,physical_boundary,,yes,Tier A KA-RU ~ A-KA-RU
MB-A-006,retain_secure,prefix,A,SI-KI-RA,A-SI-KI-RA,accepted_secure,,anthroponymic_risk,yes,Tier A SI-KI-RA ~ A-SI-KI-RA
MB-A-009,retain_secure,prefix,A,TA-NA-TE,A-TA-NA-TE,accepted_secure,,,yes,Tier A same-tablet TA-NA-TE ~ A-TA-NA-TE
MB-I-005,retain_secure,prefix,I,QA-*118,I-QA-*118,accepted_secure,,,yes,Tier A QA-*118 ~ I-QA-*118
MB-I-008,retain_secure,prefix,I,DA-MA-TE,I-DA-MA-TE,accepted_secure,physical_boundary,,yes,Tier A DA-MA-TE ~ I-DA-MA-TE
MB-TI-001,retain_secure,suffix,TI,DA-KU-SE-NE,DA-KU-SE-NE-TI,accepted_secure,physical_boundary,,yes,Tier A DA-KU-SE-NE ~ DA-KU-SE-NE-TI
MB-JA-001,retain_secure,suffix,JA,PA-SE,PA-SE-JA,accepted_secure,physical_boundary,,yes,Tier A PA-SE ~ PA-SE-JA
MB-JA-002,retain_secure,suffix,JA,KU-PA,KU-PA-JA,accepted_secure,physical_boundary,,yes,Tier A KU-PA ~ KU-PA-JA
MB-NE-001,retain_secure,suffix,NE,*21F-TU,*21F-TU-NE,accepted_secure,,,yes,Tier A *21F-TU ~ *21F-TU-NE
MB-ME-001,retain_secure,suffix,ME,A-RA-TU,A-RA-TU-ME,accepted_secure,,,yes,Tier B A-RA-TU ~ A-RA-TU-ME must remain structurally available
MB-TE-003,retain_secure,suffix,TE,KU-NI,KU-NI-TE,accepted_secure,,,yes,Tier B KU-NI ~ KU-NI-TE benchmark correction must remain available
