family,state,form,inscription,site,support,scribe,document_class,observable_role,commodity_or_logogram,quantity_or_impressions,derived_transaction_role,role_confidence,scoring_status,notes
PA-SE,base,PA-SE,HT18,Haghia Triada,tablet,HT Scribe 20,mixed commodities,administrative entry label,"GRA+QE; OLE+KI; *304","20; 2; 3",recipient,secondary-model,score,"PA-SE controls several commodity/quantity entries in the upstream transaction segmentation"
PA-SE,base,PA-SE,HT27b,Haghia Triada,tablet,HT Scribe 11,combined people+food,administrative entry label,"VIN+WA/SA; RE; VIN/GRA","4; 70; 4; 40",recipient,secondary-model,score,"Second independent base attestation in ordinary administration"
PA-SE,JA,PA-SE-JA,HTWc3001,Haghia Triada,roundel,"source disagreement: item metadata Wa Scribe 10; commentary Wa Scribe 107",sealed administration,roundel inscription/receipt label,"seal impressions; fraction J","3 impressions (+ J on one impression)",unclassified,archaeological-document-function,score,"Roundels are generally interpreted as receipts; lexical role of the written sign-group is not independently known"
PA-SE,JA,PA-SE-JA,HTWc3002,Haghia Triada,roundel,"source disagreement: item metadata Wa Scribe 10; commentary Wa Scribe 107",sealed administration,roundel inscription/receipt label,seal impressions,2 impressions,unclassified,archaeological-document-function,score,"Replicates the same extended form on a second roundel"
PA-SE,JA,]PA-SE-JA,HT93a,Haghia Triada,tablet,HT Scribe 5,specialized commodities,damaged administrative entry,uncertain,20,unclassified,low,non-scoring,"Damaged left boundary; important because it shows the extended sequence is not confined to roundels"
KU-PA,base,KU-PA,HT110a,Haghia Triada,tablet,unknown,mixed commodities,numbered administrative entry,context under mixed-commodity account,1,unclassified,raw-context,score,"Complete base in same-site administration"
KU-PA,base,KU-PA,ZA11a,Zakros,tablet,ZA Scribe 2?,outgoing/disbursement account,administrative entry label,GRA+PA,1,recipient,secondary-model,score,"Younger notes KU-PA as possibly a transaction term; derived transaction layer classifies the entry as recipient"
KU-PA,base,KU-PA,ZA11b,Zakros,tablet,ZA Scribe 2?,outgoing/disbursement account,administrative entry label,GRA+PA,3,recipient,secondary-model,score,"Independent repeated bare-form context on the same document"
KU-PA,base,KU-PA,HTWe1020a,Haghia Triada,nodulus,unknown,sealed administration,inscribed sealed-document term,"*304+PA; fraction over seal",fraction E,unclassified,concordance-only,corroboration,"Listed as complete KU-PA in the GORILA-derived concordance; useful counterexample to a JA=sealed-document hypothesis"
KU-PA,JA,KU-PA-JA,HT116a,Haghia Triada,tablet,HT Scribe 20,mixed commodities,administrative entry label,GRA,16,recipient,secondary-model,score,"Same coarse administrative/recipient-like role as bare KU-PA on ZA11"
A-SE,base,A-SE,HT81,Haghia Triada,tablet,unknown,fragmentary account,administrative entry label,MI+JA+RU,fractional,unclassified,raw-context,corroboration,"Complete base but surrounding document is damaged"
A-SE,base,A-SE,HT93a,Haghia Triada,tablet,HT Scribe 5,specialized commodities,administrative entry label,"I; GRA+PA",26,recipient-like,raw-context,score,"Complete base in commodity account"
A-SE,base,A-SE,HT132,Haghia Triada,tablet,HT Scribe 9,mixed commodities,administrative entry label,*319,5,recipient,secondary-model,score,"Upstream derived transaction layer classifies A-SE as recipient"
A-SE,JA,A-SE-JA,HT115a,Haghia Triada,tablet,HT Scribe 8,single commodity,administrative recipient/list entry,"GRA+BOSm document context",fraction DDDD,recipient,secondary-model,score,"Same coarse recipient-like role as bare A-SE"
*306-TU,base,*306-TU,HT9a,Haghia Triada,tablet,unknown,numerical account,numbered list entry,none immediate,10,unclassified,raw-context,score,"Complete base; repeated again on HT9b"
*306-TU,base,*306-TU,HT119,Haghia Triada,tablet,HT Scribe 9,people/personnel-style account,numbered designation/personnel entry,men implied,2,recipient,secondary-model,score,"Younger notes possible names/designations in this list"
*306-TU,JA,*306-TU-JA,HT115b,Haghia Triada,tablet,HT Scribe 8,transactional account,numbered transaction participant,"I transaction context",1,sender,secondary-model,score,"Derived transaction model labels it sender; raw context alone does not establish grammatical voice/case"
